cluster,framing (verbatim hook),advertiser,longest_run_days,total_span_days,relaunch,variants,countries,eu_reach,price,LP type,lp_h1,domain
C5,Tired of feeling held back by your drinking habits?,Alcohol Free Daily,61,61,False,1,DEDKNL,34000,$1,application_form,Therapy & Recovery Support for Life Challenges - Calmio.ai,calmio.ai
C5,You don’t need to hit rock bottom to make a change.,Ask Dr. Whitmore,60,60,False,1,DEDKNL,264,$1,application_form,Therapy & Recovery Support for Life Challenges - Calmio.ai,calmio.ai
C5,I used to leave the gym with a headache more often than not.,Bollsen,58,58,False,1,DEDK,15710,$1,direct_checkout,BOLLSEN HEARING PROTECTION,lp.bollsen-hearingprotection.com
C5,"Some days, a little extra quiet is just what you need to focus, relax, or sleep better ✨ Loop earplugs can help you find it.",Loop,45,45,False,4,DK,32393,$1,direct_checkout,"Your Life, Your Volume | Loop Earplugs",loopearplugs.com
C6,"Burnout doesn’t just drain your energy—it clouds your clarity, dulls your passion, and makes it hard to see a way forward. If you’ve given everything to your career and feel like you’ve lost yourself in the process, this guide offers both the grounding and direction you’ve been searching for. With practical recovery tools, reflective exercises, and a clear map to rebuild from exhaustion, it helps you reconnect with who you are beyond the burnout. You’ll walk away with renewed energy, a sense of clarity, and a plan to move into your next chapter with confidence.",PDF Guide Sanctuary ,279,279,False,1,AUGBUS,,gated,direct_checkout,The PDF Guide Sanctuary,pdfguidesanctuary.com
C6,"If ongoing pressure is still affecting your clarity and energy, structured intervention may be the next step.",Medifit Rehabilitation Center,158,158,False,2,GB,,gated,vsl,Rehabilitation in Spain - Medifit Reha,medifitreha.com
C6,The horror of staring at a blank pages in your new journal 😳,F&B Digital Therapy,95,95,False,1,GB,,£0.00,direct_checkout,F&B Digital Therapy,fandbtherapy.com
C6,"🍃 Quiet Reset Retreat | São Miguel, Azores 🍃",Naturemma Azores ,87,87,False,1,DENLUS,6110,,,,
C6,Want to learn how we help executive women leaders end burnout and REWIRE their brains for sustainable success?,Rewired Woman,53,53,False,6,AUDEGBNLUS,4631,,,,
C6,Knowing you need to rest and actually being able to rest are two completely different skills. One is information. The other is a nervous system problem.,The Tired Years,52,52,False,1,AUGBUS,126,$17.00,direct_checkout,"The tired years 
      don't have to  last.",thetiredyears.org
C7,Du funktionierst nach außen. Aber innen zahlt dein Körper längst die Rechnung. 💭,Fabriam Verlag,129,129,False,1,DE,168574,gated,unknown,,amazon.de
C7,The horror of staring at a blank pages in your new journal 😳,F&B Digital Therapy,95,95,False,1,GB,,£0.00,direct_checkout,F&B Digital Therapy,fandbtherapy.com
C7,You follow the advice. You try the strategies. You show up every day for your child.,Autism Parenting Magazine,74,74,False,2,AUGBUS,803,$1,application_form,Autism Parenting Magazine,AutismParentingMagazine.com
C7,"Learn Acceptance and Commitment Therapy (ACT) from Dr. Russ Harris, internationally acclaimed trainer and best-selling author of The Happiness Trap, who has trained over 80,000 professionals worldwide.",Psychwire.com,68,68,False,1,DEDKGBNL,1418,,,,https://psychwire.com/act
